iter	Passed	Remaining
467	720	818
468	721	816
469	722	814
470	723	813
471	724	810
472	725	808
473	726	806
474	727	804
475	729	802
476	730	800
477	731	798
478	732	796
479	733	794
480	734	792
481	735	790
482	736	788
483	738	786
484	738	784
485	739	782
486	740	780
487	741	778
488	742	776
489	743	774
490	744	772
491	745	770
492	746	767
493	747	765
494	748	763
495	749	761
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	755	749
502	756	747
503	757	745
504	759	744
505	760	742
506	760	739
507	761	737
508	762	735
509	763	733
510	765	732
511	766	730
512	767	728
513	768	726
514	769	724
515	770	722
516	771	720
517	772	718
518	773	716
519	774	715
520	775	713
521	776	711
522	777	709
523	778	707
524	780	705
525	780	703
526	781	701
527	782	699
528	783	697
529	784	695
530	785	694
531	787	692
532	787	690
533	788	688
534	789	686
535	790	684
536	791	682
537	792	680
538	793	679
539	794	677
540	795	675
541	796	673
542	797	671
543	798	669
544	800	668
545	801	666
546	802	664
547	803	662
548	804	660
549	805	659
550	807	657
551	808	656
552	809	654
553	810	652
554	812	651
555	813	649
556	814	647
557	815	646
558	816	644
559	817	642
560	818	640
561	819	638
562	820	636
563	821	635
564	822	633
565	823	631
566	824	629
567	826	628
568	827	626
569	828	625
570	829	623
571	830	621
572	831	619
573	832	617
574	833	616
575	834	614
576	836	612
577	837	611
578	838	609
579	839	607
580	840	605
581	841	604
582	842	602
583	843	601
584	844	599
585	845	597
586	846	595
587	847	594
588	848	592
589	849	590
590	851	589
591	852	587
592	853	585
593	854	583
594	855	582
595	856	580
596	857	578
597	858	577
598	859	575
599	860	573
600	861	571
601	862	570
602	863	568
603	865	567
604	866	565
605	867	564
606	868	562
607	869	560
608	870	558
609	871	557
610	872	555
611	873	553
612	874	552
613	875	550
614	876	548
615	877	546
616	878	545
617	880	544
618	881	542
619	882	541
620	883	539
621	884	537
622	885	536
623	886	534
624	887	532
625	889	531
626	890	529
627	891	527
628	893	526
629	894	525
630	895	523
631	896	522
632	898	520
633	899	519
634	900	517
635	901	516
636	902	514
637	903	512
638	904	511
639	906	509
640	908	508
641	909	506
642	910	505
643	911	503
644	912	502
645	913	500
646	914	499
647	915	497
648	916	495
649	917	494
650	918	492
651	920	491
652	921	489
653	922	488
654	923	486
655	924	485
656	926	483
657	928	482
658	930	481
659	933	480
660	934	479
661	936	478
662	937	476
663	939	475
664	940	473
665	942	472
666	943	471
667	945	469
668	947	468
669	949	467
670	951	466
671	953	465
672	955	464
673	957	463
674	960	462
675	962	461
676	964	460
677	966	459
678	968	457
679	969	456
680	971	454
681	972	453
682	974	452
683	975	450
684	977	449
685	978	448
686	980	446
687	981	445
688	982	443
689	984	442
690	985	440
691	986	439
692	988	437
693	989	436
694	990	434
695	991	433
696	992	431
697	993	430
698	994	428
699	995	426
700	997	425
701	998	423
702	999	422
703	1000	420
704	1001	418
705	1002	417
706	1003	415
707	1004	414
708	1005	412
709	1006	411
710	1007	409
711	1008	407
712	1009	406
713	1010	404
714	1010	402
715	1011	401
716	1012	399
717	1012	397
718	1013	396
719	1014	394
720	1014	392
721	1015	391
722	1016	389
723	1017	388
724	1019	386
725	1020	385
726	1021	383
727	1022	382
728	1023	380
729	1025	379
730	1026	377
731	1027	376
732	1028	374
733	1029	373
734	1032	372
735	1033	370
736	1034	369
737	1035	367
738	1036	366
739	1037	364
740	1038	363
741	1039	361
742	1040	359
743	1041	358
744	1042	356
745	1043	355
746	1044	353
747	1046	352
748	1047	350
749	1048	349
750	1049	347
751	1049	346
752	1051	344
753	1052	343
754	1052	341
755	1053	340
756	1054	338
757	1055	337
758	1057	335
759	1058	334
760	1060	332
761	1061	331
762	1062	330
763	1064	328
764	1065	327
765	1066	325
766	1067	324
767	1069	322
768	1070	321
769	1071	319
770	1072	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1078	311
776	1079	309
777	1080	308
778	1081	306
779	1082	305
780	1083	303
781	1084	302
782	1085	300
783	1086	299
784	1088	297
785	1089	296
786	1090	295
787	1091	293
788	1092	292
789	1093	290
790	1094	289
791	1095	287
792	1096	286
793	1097	284
794	1098	283
795	1099	281
796	1101	280
797	1102	279
798	1103	277
799	1104	276
800	1105	274
801	1106	273
802	1107	271
803	1108	270
804	1108	268
805	1109	267
806	1111	265
807	1114	264
808	1116	263
809	1119	262
810	1120	261
811	1122	259
812	1125	258
813	1127	257
814	1128	256
815	1130	254
816	1132	253
817	1133	252
818	1135	250
819	1137	249
